timestamp,vL1,vL2,vL3,vL12,vL23,vL31,iL1,iL2,iL3,iNeutral,pL1,pL2,pL3,pTotal,qL1,qL2,qL3,qTotal,sL1,sL2,sL3,sTotal,pfL1,pfL2,pfL3,pfTotal,frequency,kwhImportL1,kwhImportL2,kwhImportL3,kwhImportTotal,kvarhImportL1,kvarhImportL2,kvarhImportL3,kvarhImportTotal
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1764500185389,218.75,0.00,0.00,8.15,0.00,0.00,1753.43,0.00,0.00,1765.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.49,0.00,0.00,218.75,0.00,8.15,8.15,0.00,1753.43,0.00,1765.50,0.00,0.00,1.00,0.00,-1.49,0.00
1764500186641,217.13,0.00,0.00,8.09,0.00,0.00,1765.50,0.00,0.00,1724.90,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.54,0.00,0.00,217.13,0.00,8.09,8.09,0.00,1765.50,0.00,1724.90,0.00,0.00,1.00,0.00,-1.54,0.00
1764500187839,218.33,0.00,0.00,8.13,0.00,0.00,1766.60,0.00,0.00,1750.14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.54,0.00,0.00,218.33,0.00,8.13,8.13,0.00,1766.60,0.00,1750.14,0.00,0.00,1.00,0.00,-1.54,0.00
1764500187839,218.33,0.00,0.00,8.13,0.00,0.00,1766.60,0.00,0.00,1750.14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.54,0.00,0.00,218.33,0.00,8.13,8.13,0.00,1766.60,0.00,1750.14,0.00,0.00,1.00,0.00,-1.54,0.00
1764500189095,218.21,0.00,0.00,8.12,0.00,0.00,1766.60,0.00,0.00,1746.85,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.44,0.00,0.00,218.21,0.00,8.12,8.12,0.00,1766.60,0.00,1746.85,0.00,0.00,1.00,0.00,-1.44,0.00
1764500190291,218.32,0.00,0.00,8.12,0.00,0.00,1766.60,0.00,0.00,1745.75,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.54,0.00,0.00,218.32,0.00,8.12,8.12,0.00,1766.60,0.00,1745.75,0.00,0.00,1.00,0.00,-1.54,0.00
1764500191540,217.53,0.00,0.00,8.10,0.00,0.00,1762.21,0.00,0.00,1731.49,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.50,0.00,0.00,217.53,0.00,8.10,8.10,0.00,1762.21,0.00,1731.49,0.00,0.00,1.00,0.00,-1.50,0.00
1764500192733,218.06,0.00,0.00,8.12,0.00,0.00,1767.70,0.00,0.00,1745.75,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.43,0.00,0.00,218.06,0.00,8.12,8.12,0.00,1767.70,0.00,1745.75,0.00,0.00,1.00,0.00,-1.43,0.00
1764500192733,218.06,0.00,0.00,8.12,0.00,0.00,1767.70,0.00,0.00,1745.75,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.43,0.00,0.00,218.06,0.00,8.12,8.12,0.00,1767.70,0.00,1745.75,0.00,0.00,1.00,0.00,-1.43,0.00
1764500193924,218.39,0.00,0.00,8.13,0.00,0.00,1764.41,0.00,0.00,1751.24,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.48,0.00,0.00,218.39,0.00,8.13,8.13,0.00,1764.41,0.00,1751.24,0.00,0.00,1.00,0.00,-1.48,0.00
1764500195116,218.51,0.00,0.00,8.14,0.00,0.00,1773.18,0.00,0.00,1754.53,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.53,0.00,0.00,218.51,0.00,8.14,8.14,0.00,1773.18,0.00,1754.53,0.00,0.00,1.00,0.00,-1.53,0.00
1764500196309,218.22,0.00,0.00,8.13,0.00,0.00,1768.79,0.00,0.00,1751.24,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.55,0.00,0.00,218.22,0.00,8.13,8.13,0.00,1768.79,0.00,1751.24,0.00,0.00,1.00,0.00,-1.55,0.00
1764500197570,218.24,0.00,0.00,8.13,0.00,0.00,1768.79,0.00,0.00,1751.24,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.54,0.00,0.00,218.24,0.00,8.13,8.13,0.00,1768.79,0.00,1751.24,0.00,0.00,1.00,0.00,-1.54,0.00
1764500198758,218.32,0.00,0.00,8.14,0.00,0.00,1769.89,0.00,0.00,1754.53,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.57,0.00,0.00,218.32,0.00,8.14,8.14,0.00,1769.89,0.00,1754.53,0.00,0.00,1.00,0.00,-1.57,0.00
1764500198758,218.32,0.00,0.00,8.14,0.00,0.00,1769.89,0.00,0.00,1754.53,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.57,0.00,0.00,218.32,0.00,8.14,8.14,0.00,1769.89,0.00,1754.53,0.00,0.00,1.00,0.00,-1.57,0.00
1764500199950,218.40,0.00,0.00,8.13,0.00,0.00,1780.86,0.00,0.00,1751.24,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.58,0.00,0.00,218.40,0.00,8.13,8.13,0.00,1780.86,0.00,1751.24,0.00,0.00,1.00,0.00,-1.58,0.00
1764500201141,218.53,0.00,0.00,8.13,0.00,0.00,1772.09,0.00,0.00,1752.34,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.59,0.00,0.00,218.53,0.00,8.13,8.13,0.00,1772.09,0.00,1752.34,0.00,0.00,1.00,0.00,-1.59,0.00
1764500202331,218.89,0.00,0.00,8.14,0.00,0.00,1775.38,0.00,0.00,1758.92,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.53,0.00,0.00,218.89,0.00,8.14,8.14,0.00,1775.38,0.00,1758.92,0.00,0.00,1.00,0.00,-1.53,0.00
1764500203581,218.60,0.00,0.00,8.14,0.00,0.00,1774.28,0.00,0.00,1754.53,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,-1.60,0.00,0.00,218.60,0.00,8.14,8.14,0.00,1774.28,0.00,1754.53,0.00,0.00,1.00,0.00,-1.60,0.00
